Ecru,Ecru/off-white,#F0EADA
4124,Variations - Bonfire,ERROR
4126,Variations - Desert Canyon,ERROR
4128,Variations - Gold Coast,ERROR
4130,Variations - Chilean Sunset,ERROR
4140,Variations - Driftwood,ERROR
4145,Variations - Sandune,ERROR
4150,Variations - Desert Sand,ERROR
4160,Variations - Glistening Pearl,ERROR
4170,Variations - Whispering Wind,ERROR
4180,Variations - Rose Petals,ERROR
4190,Variations - Ocean Coral,ERROR
4200,Variations - Wild Fire,ERROR
4210,Variations - Radiant Ruby,ERROR
4215,Variations - Northern Lights,ERROR
4220,Variations - Lavender Fields,ERROR
4230,Variations - Crystal Water,ERROR
4235,Variations - Arctic Sea,ERROR
4240,Variations - Mid Summer Night,ERROR
4500,Coloris - Columbine Gardens,ERROR
4501,Coloris - Wildflowers,ERROR
4502,Coloris - Camelia,ERROR
4503,Coloris - Wisteria,ERROR
4504,Coloris - Hydrangea,ERROR
4505,Coloris - Heather,ERROR
4506,Coloris - Spring,ERROR
4507,Coloris - Bouginvillea,ERROR
4508,Coloris - Frosted Countryside,ERROR
4509,Coloris - Granite Coast,ERROR
4510,Coloris - Maple,ERROR
4511,Coloris - Indian Summer,ERROR
4512,Coloris - States,ERROR
4513,Coloris - London,ERROR
4514,Coloris - Venice,ERROR
4515,Coloris - Paris,ERROR
4516,Coloris - Black Forest,ERROR
4517,Coloris - Elves,ERROR
4518,Coloris - Cottage,ERROR
4519,Coloris - Jingle Bells,ERROR
4520,Coloris - Christmas Story,ERROR
4521,Coloris - Wide Open Spaces,ERROR
4522,Coloris - Canadian Night,ERROR
4523,Coloris - North Wind,ERROR
CBlanc,Étoile -  White,ERROR
CEcru,Étoile - Ecru/off-white,ERROR
C310,Étoile - Black,ERROR
C318,Étoile - Steel Gray - Light,ERROR
C321,Étoile - Red,ERROR
C415,Étoile - Pearl Grey,ERROR
C433,Étoile - Brown - Medium,ERROR
C436,Étoile - Tan,ERROR
C444,Étoile - Lemon - Dark,ERROR
C471,Étoile - Avocado Green - Very Light,ERROR
C519,Étoile - Sky Blue,ERROR
C550,Étoile - Violet - Very Dark,ERROR
C554,Étoile - Violet - Light,ERROR
C600,Étoile - Cranberry - Very Dark,ERROR
C603,Étoile - Cranberry,ERROR
C666,Étoile - Red - Bright,ERROR
C699,Étoile - Green,ERROR
C725,Étoile - Topaz,ERROR
C738,Étoile - Tan - Very Light,ERROR
C740,Étoile - Tangerine,ERROR
C798,Étoile - Delft Blue - Dark,ERROR
C814,Étoile - Garnet - Dark,ERROR
C816,Étoile - Garnet,ERROR
C820,Étoile - Royal Blue - Very Dark,ERROR
C823,Étoile - Blue - Dark,ERROR
C840,Étoile - Beige Brown - Medium,ERROR
C890,Étoile - Pistachio Green - Ultra Dark,ERROR
C900,Étoile - Burnt Orange - Dark,ERROR
C907,Étoile - Parrot Green - Light,ERROR
C915,Étoile - Plum - Dark,ERROR
C938,Étoile - Coffee Brown - Ultra Dark,ERROR
C972,Étoile - Canary - Deep,ERROR
C995,Étoile - Electric Blue - Dark,ERROR
C3371,Étoile - Black Brown,ERROR
C3799,Étoile - Pewter Gray - Very Dark,ERROR
S5200,Satin - Snow White,ERROR
S211,Satin - Lavender,ERROR
S307,Satin - Lemon,ERROR
S310,Satin - Black,ERROR
S321,Satin - Red,ERROR
S326,Satin - Rose,ERROR
S336,Satin - Blue,ERROR
S351,Satin - Coral,ERROR
S352,Satin - Coral Light,ERROR
S367,Satin - Pistachio Green,ERROR
S414,Satin - Steel Grey,ERROR
S415,Satin - Pearl Grey,ERROR
S434,Satin - Brown,ERROR
S469,Satin - Avacado Green,ERROR
S471,Satin - Avocado Green Very Light,ERROR
S472,Satin - Avocado Green Ultra Light,ERROR
S501,Satin - Blue Green Dark,ERROR
S504,Satin - Blue Green,ERROR
S550,Satin - Violet Dark,ERROR
S552,Satin - Violet Medium,ERROR
S553,Satin - Violet,ERROR
S601,Satin - Cranberry Dark,ERROR
S602,Satin - Cranberry,ERROR
S606,Satin - Orange Red,ERROR
S666,Satin - Red Bright,ERROR
S676,Satin - Old Gold,ERROR
S700,Satin - Green,ERROR
S702,Satin - Kelly Green,ERROR
S712,Satin - Cream,ERROR
S726,Satin - Topaz,ERROR
S738,Satin - Tan Dark,ERROR
S739,Satin - Tan,ERROR
S741,Satin - Tangerine,ERROR
S744,Satin - Yellow,ERROR
S745,Satin - Yellow Pale,ERROR
S762,Satin - Pearl Grey,ERROR
S776,Satin - Pink,ERROR
S797,Satin - Royal Blue,ERROR
S798,Satin - Delft Blue Dark,ERROR
S799,Satin - Delft Blue,ERROR
S800,Satin - Delft Blue Pale,ERROR
S818,Satin - Baby Pink,ERROR
S820,Satin - Royal Blue Very Dark,ERROR
S841,Satin - Beige Brown,ERROR
S898,Satin - Coffee Brown,ERROR
S899,Satin - Rose,ERROR
S909,Satin - Emerald Green,ERROR
S915,Satin - Plum Dark,ERROR
S931,Satin - Antique Blue,ERROR
S932,Satin - Antique Blue Light,ERROR
S943,Satin - Aquamarine,ERROR
S959,Satin - Seagreen,ERROR
